From,to,type,year
SaJaBh,UnBo,education,
SaJaBh,HoMaSt,education,
SaJaBh,TaUn,education,
SaJaBh,HeRu,voluntariat,
SaJaBh,u30,nominierung,2018
FaBr,DeJoSc,education,2011
FaBr,LuMaUn,education,2011
FaBr,MaaUn,education,2008
FaBr,UnPro,education,2009
FaBr,u30,nominierung,2018
StDo,RaRe,voluntariat,2007
StDo,UnMue,education,2009
StDo,UnHe,education,2013
StDo,UnBuAi,education,2015
StDo,u30,nominierung,2018
StDo,GeHoPr,preis,2018
StDo,ExAwIn,preis,2018
AnGe,AxSpAk,voluntariat,2017
AnGe,CIMe,preis,2018
AnGe,HoMit,education
MG,FuBe,education,
MG,u30,nominierung,2018
CrHe,UnHav,education,2016
CrHe,ZeRe,education,2016
CrHe,u30,nominierung,2018
AnMa,UnKoe,education,
AnMa,DeJoSc,education,
AnMa,u30,nominierung,2018
NoNa,UnWiHe,education,
NoNa,u30,nominierung,
AnPe,LeUnLue,education,
AnPe,AlZeLue,voluntariat,
AnPe,u30,nominierung,
YaPo,FuBe,education,2016
YaPo,u30,nominierung,2018
TaRoe,UnLo,education,2009
TaRoe,Corr,voluntariat,2016
TaRoe,u30,nominierung,2018
CaSc,DeJoSc,education,2015
CaSc,LuMaUn,education,2015
CaSc,UnRe,education,2010
CaSc,u30,nominierung,2018
SaSch,HeNaSc,education,
SaSch,HuUnBe,education,2011
SaSch,HuUnBe,education,2007
SaSch,UnSoNo,education,2009
SaSch,u30,nominierung,2018
SaSch,UnStGa,education,2017
SaSch,HaKeSc,education,2013
SaSch,AmUnCa,education,2010
SaSch,PrUn,education,2007
SaSch,UWCAt,education,2005
SaSch,HeRiLa,preis,2011
VaVu,SOUnLo,education,2014
VaVu,LuMaUn,education,2010
VaVu,UnPaCi,education,2013
VaVu,AmIn,engagement,2010
VaVu,LaLei,engagement,2011
VaVu,StRat,engagement,2013
VaVu,u30,nominierung,2018
ThWo,FuBe,education,
ThWo,u30,nominierung,2018
