Id,name,company,location,position
SaJaBh,SaraJasminBhatti,,,Freie-Journalistin
UnBo,UniversitartBonn,,Bonn,
HoMaSt,HochschuleMagdeburg-Stendal,,Magdeburg,
TaUn,TallinnUniversity,,Tallinn,
HeRu,HessischenRundfunk,,Hessen,
FaBr,FranziskaBroich,,,EU-Korrespondentin
MaaUn,MaastrichtUniversity,,Maastricht,
UnPro,UniversitédeProvence,,Marseille,
StDo,StefanieDodt,,,FreieReporterin
RaRe,RadioRegenbogen,,Mannheim,
LFK,MedienpreisderLandesmedienanstaltfürKommunikation,,Baden-Württemberg,
UnMue,UniversitaeteMuenchen,,Muenchen,
UnHe,UniversitaetHeidelberg,,Heidelberg,
UnBuAi,UniversitaetBuenosAires,,BuenosAires,
GeHoPr,GeorgvonHoltzbrinck-PreisfürWirtschaftsjournalismus,VerlagsgruppeGeorgvonHoltzbrinck,,
ExAwIn,Exzellenz-AwardfürInvestigativeRecherche,AxelSpringerPreis,,
AnGe,AngeliqueGeray,,,
CIMe,CIVISMedienpreis,Axel-Springer-Akademie,,
HoMit,HochschuleMittweida,,Mittweida,
MG,MaleneGürgen,taz,,Redakteurin
FuBe,FUBerlin,,Berlin,
CrHe,CristinaHelberg,Correctiv,,Reporterin-Faktencheckerin
UnHav,UniversityofHavana,,Havana,
ZeRe,ZeitenspiegelReportageschule,,Reutlingen,
AnMa,AnnaMayr,Correctiv,,FreieJournalistin
UnKoe,UniversitaetKoeln,,Koeln,
NoNa,NoraNagel,Docupy,,LeiterinOnlineredaktion
UnWiHe,UniversitaetWitten/Herdecke,,Witten,
AnPe,AnnaPetersen,LandeszeitungfürdieLüneburgerHeide,,Pauschalistin
LeUnLue,LeuphanaUniversitaetLueneburg,,Lueneburg,
AlZeLue,AllgemeinenZeitungderLueneburgerHeideinUelzen,,Lueneburg,
YaPo,YasminPolat,watson,,Redakteurin
TaRoe,TaniaRöttger,Correctiv,,Redakteurin
UnLo,UniversityofLondon,,London,
Corr,Correctiv,,Essen,
CaSc,CathrinSchmiegel,DerSpiegel,,Redakteurin
UnRe,UniversityofRegensburg,,Regensburg,
SaSch,SaraSchurmann,Vice,,Textchefin
HeNaSc,Henri-Nannen-Schule,,Hamburg,
HuUnBe,Humboldt-UniversitaetzuBerlin,,Berlin,
UnSoNo,UniversitéSorbonneNouvelle,,Paris,
LeSt,LéaSteinacker,Wirtschaftswoche,,Chief InnovationOfficer
UnStGa,UniversityofStGallen,,Schweiz,
HaKeSc,HarvardKennedySchool,,Cambridge,
AmUnCa,TheAmericanUniversityinCairo,,Cairo,
PrUn,PrincetonUniversity,,Princeton,
UWCAt,UWCAtlanticCollege,,Llantwit-Major,
HeRiLa,HenryRichardsonLabouissePreis,PrincetonUniversity,,
VaVu,VanessaVu,ZeitOnline,,Redakteurin
SOUnLo,SOASUniversityofLondon,,London,
UnPaCi,UniversiteParisCite,,Paris,
AmIn,AmnestyInternational,,London,
LaLei,Landesjugendleitung,,,
StRat,StipendiatInnen-Rat,,,
ThWo,ThembiWolf,FAZ,,FreieJournalistin
